0,4,5,0,0
0,5,6,0,0
0,6,7,0,0
0,4,5,0,0
0,5,6,0,0
0,6,5,0,0
0,4,6,0,0
0,5,7,0,0
0,6,6,0,0
0,4,7,0,0
0,5,7,0,0
0,4,5,0,0
0,5,6,0,0
0,6,5,0,0
0,5,6,0,0
1,8,10,0,0
1,9,10,0,0
1,9,10,0,0
1,9,11,0,0
1,8,11,0,0
1,8,11,0,0
1,8,12,0,0
2,4,5,1,0
2,5,6,2,0
2,6,5,1,0
2,4,6,2,0
2,5,7,3,0
2,6,5,1,0
2,4,6,2,0
2,5,5,3,0
2,6,6,1,0
2,4,7,2,0
2,5,6,3,0
2,4,7,1,0
2,5,7,2,0
2,6,5,3,0
2,5,6,1,0
2,6,5,2,0
2,4,6,3,0
3,4,6,1,1
3,5,7,2,1
3,6,6,1,1
3,4,7,2,1
3,5,7,3,1
3,6,5,1,1
3,4,6,2,1
3,5,5,3,1
3,6,6,1,1
3,4,5,2,1
3,5,6,3,1
3,4,7,1,1
3,5,6,2,1
3,6,7,3,1
3,5,7,1,1
3,6,5,2,1
3,4,6,3,1
3,5,5,1,1
4,8,10,1,1
4,9,10,2,1
4,9,10,3,1
4,9,11,1,1
4,8,11,2,1
4,8,11,3,1
4,8,11,1,1
4,8,10,2,1
4,9,10,3,1
4,9,10,1,1
4,9,11,2,1
4,8,11,3,1
4,8,11,1,1
4,8,11,2,1
4,8,11,1,1
4,9,12,2,1
4,8,12,3,1
4,9,10,1,1
